Source,Location ID,City,State,Country,Latitude,Longitude,Time Zone,Elevation,Local Time Zone,Clearsky DHI Units,Clearsky DNI Units,Clearsky GHI Units,Dew Point Units,DHI Units,DNI Units,GHI Units,Solar Zenith Angle Units,Temperature Units,Pressure Units,Relative Humidity Units,Precipitable Water Units,Wind Direction Units,Wind Speed,Cloud Type -15,Cloud Type 0,Cloud Type 1,Cloud Type 2,Cloud Type 3,Cloud Type 4,Cloud Type 5,Cloud Type 6,Cloud Type 7,Cloud Type 8,Cloud Type 9,Cloud Type 10,Cloud Type 11,Cloud Type 12,Fill Flag 0,Fill Flag 1,Fill Flag 2,Fill Flag 3,Fill Flag 4,Fill Flag 5,Surface Albedo Units,Version
NSRDB,1245973,-,-,-,40.73,-73.98,-5,11,-5,w/m2,w/m2,w/m2,c,w/m2,w/m2,w/m2,Degree,c,mbar,%,cm,Degrees,m/s,N/A,Clear,Probably Clear,Fog,Water,Super-Cooled Water,Mixed,Opaque Ice,Cirrus,Overlapping,Overshooting,Unknown,Dust,Smoke,N/A,Missing Image,Low Irradiance,Exceeds Clearsky,Missing CLoud Properties,Rayleigh Violation,N/A,v3.0.1
Year,Month,Day,Hour,Minute,GHI
2007,10,12,23,0,0
2007,10,12,23,30,0
2007,10,13,0,0,0
2007,10,13,0,30,0
2007,10,13,1,0,0
2007,10,13,1,30,0
2007,10,13,2,0,0
2007,10,13,2,30,0
2007,10,13,3,0,0
2007,10,13,3,30,0
2007,10,13,4,0,0
2007,10,13,4,30,0
2007,10,13,5,0,0
2007,10,13,5,30,0
2007,10,13,6,0,0
2007,10,13,6,30,40
2007,10,13,7,0,121
2007,10,13,7,30,212
2007,10,13,8,0,305
2007,10,13,8,30,393
2007,10,13,9,0,473
2007,10,13,9,30,543
2007,10,13,10,0,603
2007,10,13,10,30,648
2007,10,13,11,0,676
2007,10,13,11,30,690
2007,10,13,12,0,687
2007,10,13,12,30,670
2007,10,13,13,0,292
2007,10,13,13,30,270
2007,10,13,14,0,241
2007,10,13,14,30,208
2007,10,13,15,0,170
2007,10,13,15,30,282
2007,10,13,16,0,192
2007,10,13,16,30,102
2007,10,13,17,0,26
2007,10,13,17,30,0
2007,10,13,18,0,0
2007,10,13,18,30,0
2007,10,13,19,0,0
2007,10,13,19,30,0
2007,10,13,20,0,0
2007,10,13,20,30,0
2007,10,13,21,0,0
2007,10,13,21,30,0
2007,10,13,22,0,0
2007,10,13,22,30,0
2007,10,13,23,0,0
2007,10,13,23,30,0
2007,10,14,0,0,0
2007,10,14,0,30,0
2007,10,14,1,0,0
2007,10,14,1,30,0
2007,10,14,2,0,0
2007,10,14,2,30,0
2007,10,14,3,0,0
2007,10,14,3,30,0
2007,10,14,4,0,0
2007,10,14,4,30,0
2007,10,14,5,0,0
2007,10,14,5,30,0
2007,10,14,6,0,0
2007,10,14,6,30,37
2007,10,14,7,0,117
2007,10,14,7,30,207
2007,10,14,8,0,297
2007,10,14,8,30,383
2007,10,14,9,0,460
2007,10,14,9,30,528
2007,10,14,10,0,585
2007,10,14,10,30,628
2007,10,14,11,0,655
2007,10,14,11,30,669
2007,10,14,12,0,667
2007,10,14,12,30,650
2007,10,14,13,0,620
2007,10,14,13,30,574
2007,10,14,14,0,514
2007,10,14,14,30,444
2007,10,14,15,0,365
2007,10,14,15,30,277
2007,10,14,16,0,186
2007,10,14,16,30,97
2007,10,14,17,0,24
2007,10,14,17,30,0
2007,10,14,18,0,0
2007,10,14,18,30,0
2007,10,14,19,0,0
2007,10,14,19,30,0
2007,10,14,20,0,0
2007,10,14,20,30,0
2007,10,14,21,0,0
2007,10,14,21,30,0
2007,10,14,22,0,0
2007,10,14,22,30,0
2007,10,14,23,0,0
2007,10,14,23,30,0
2007,10,15,0,0,0
2007,10,15,0,30,0
2007,10,15,1,0,0
2007,10,15,1,30,0
2007,10,15,2,0,0
2007,10,15,2,30,0
2007,10,15,3,0,0
2007,10,15,3,30,0
2007,10,15,4,0,0
2007,10,15,4,30,0
2007,10,15,5,0,0
2007,10,15,5,30,0
2007,10,15,6,0,0
2007,10,15,6,30,33
