YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1995-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,2.8,5,1.7,5,92,54,1013,61,0.0,5,0,54,9600,5,396,5,0,5,1,99,1.1,1,0.088,1
1995-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,2.8,5,1.7,5,92,54,1013,61,2.1,5,50,5,8000,5,335,5,1,5,1,99,1.1,1,0.088,1
1995-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,2.8,5,2.2,5,96,54,1013,61,2.6,5,50,5,4800,5,122,5,1,5,1,99,1.1,1,0.088,1
1995-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,3.3,5,2.8,5,97,54,1013,61,3.1,5,40,5,4000,5,91,5,1,5,1,99,1.1,1,0.088,1
1995-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,3.3,5,2.8,5,97,54,1013,61,3.1,5,10,5,2000,5,61,5,1,5,1,99,1.1,1,0.088,1
1995-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,3.3,5,2.8,5,97,54,1013,61,4.6,5,310,5,2400,5,91,5,2,5,1,99,1.1,1,0.088,1
1995-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,3.9,5,3.3,5,96,54,1013,61,3.1,5,50,5,2400,5,213,5,1,5,1,99,1.1,1,0.088,1
1995-01-01,8:00,87.3,123.6,42,884,6,10,1,0,16,1,6,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,3.9,5,3.3,5,96,54,1013,61,2.1,5,330,5,6400,5,457,5,0,5,1,99,1.1,1,0.110,1
1995-01-01,9:00,80.2,132.2,240,1415,24,10,1,0,16,1,24,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,5.0,5,3.3,5,89,54,1013,61,1.5,5,330,5,11200,5,152,5,0,5,1,99,1.1,1,0.110,1
1995-01-01,10:00,72.7,144.1,421,1415,71,10,1,0,16,1,71,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,6.1,5,4.4,5,89,54,1013,61,3.6,5,250,5,14400,5,1372,5,0,5,1,99,1.1,1,0.110,1
1995-01-01,11:00,67.2,157.5,549,1415,101,10,1,0,16,1,101,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,7.8,5,6.7,5,93,54,1013,61,4.6,5,260,5,16000,5,2134,5,0,5,1,99,1.1,1,0.110,1
1995-01-01,12:00,64.2,172.3,616,1415,323,10,1,479,16,1,114,10,1,-9900,99,-9900,99,-9900,99,5,5,5,0,10.6,5,6.7,5,77,54,1013,61,7.2,5,270,5,24000,5,22000,5,0,5,1,99,1.0,1,0.110,1
1995-01-01,13:00,64.2,187.6,616,1415,187,10,1,180,16,1,109,10,1,-9900,99,-9900,99,-9900,99,9,5,9,0,11.7,5,7.8,5,77,54,1013,61,6.7,5,260,5,24000,5,732,5,0,5,1,99,1.0,1,0.110,1
1995-01-01,14:00,67.1,202.4,550,1415,277,10,1,286,16,1,166,10,1,-9900,99,-9900,99,-9900,99,5,5,5,0,12.2,5,6.7,5,69,54,1013,61,5.7,5,280,5,24000,5,22000,5,0,5,1,99,1.0,1,0.110,1
1995-01-01,15:00,72.6,215.8,422,1415,214,10,1,323,16,1,117,10,1,-9900,99,-9900,99,-9900,99,5,5,5,0,11.7,5,6.1,5,68,54,1013,61,5.7,5,260,5,32000,5,22000,5,0,5,1,99,1.0,1,0.110,1
1995-01-01,16:00,80.1,227.7,242,1415,105,10,1,219,16,1,68,10,1,-9900,99,-9900,99,-9900,99,4,5,4,0,11.1,5,5.0,5,66,54,1013,61,5.2,5,250,5,32000,5,22000,5,0,5,1,99,1.0,1,0.110,1
1995-01-01,17:00,87.3,236.4,43,908,10,10,1,0,16,1,10,10,1,-9900,99,-9900,99,-9900,99,9,5,9,0,10.6,5,5.6,5,71,54,1013,61,5.7,5,240,5,24000,5,1006,5,0,5,1,99,1.0,1,0.110,1
