YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1996-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,0.8,51,-3.2,51,72,54,1010,53,1.8,51,50,51,-9900,99,2686,51,-9900,99,-9900,99,1.1,1,0.089,1
1996-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,0.8,51,-3.3,51,72,54,1010,53,1.6,51,50,51,-9900,99,2820,51,-9900,99,-9900,99,1.1,1,0.089,1
1996-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,0.7,51,-3.5,51,71,54,1012,53,1.3,51,40,51,-9900,99,2953,51,-9900,99,-9900,99,1.1,1,0.089,1
1996-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,0.7,51,-3.6,51,70,54,1012,53,1.0,51,40,51,-9900,99,3086,51,-9900,99,-9900,99,1.2,1,0.089,1
1996-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,0.6,51,-3.8,51,70,54,1013,53,0.8,51,40,51,-9900,99,3220,51,-9900,99,-9900,99,1.2,1,0.089,1
1996-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,61,10,61,0.6,5,-3.9,5,69,54,1013,53,0.5,5,40,5,16000,5,3353,5,0,5,1,99,1.2,1,0.089,1
1996-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,9,61,9,61,0.6,5,-4.4,5,66,54,1014,53,1.5,5,10,5,19200,5,3353,5,0,5,1,99,1.2,1,0.089,1
1996-01-01,8:00,87.1,124.1,48,955,10,10,1,10,16,1,9,10,1,-9900,99,-9900,99,-9900,99,8,61,8,61,0.0,5,-5.0,5,66,54,1015,53,1.5,5,10,5,24000,5,3353,5,0,5,1,99,1.2,1,0.110,1
1996-01-01,9:00,80.0,133.1,246,1415,103,10,1,231,16,1,63,10,1,-9900,99,-9900,99,-9900,99,3,61,3,61,1.7,5,-4.4,5,61,54,1016,53,3.1,5,50,5,24000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,10:00,72.6,145.1,422,1415,222,10,1,516,16,1,68,10,1,-9900,99,-9900,99,-9900,99,1,61,1,61,2.8,5,-4.4,5,57,54,1017,53,2.6,5,60,5,24000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,11:00,67.3,158.6,546,1415,348,10,1,701,16,1,78,10,1,-9900,99,-9900,99,-9900,99,0,61,0,61,3.9,5,-4.4,5,52,54,1017,53,4.1,5,80,5,24000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,12:00,64.6,173.4,607,1415,384,10,1,680,16,1,92,10,1,-9900,99,-9900,99,-9900,99,1,5,1,0,4.4,5,-3.9,5,53,54,1017,53,3.1,5,90,5,24000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,13:00,64.8,188.6,603,1415,354,10,1,579,16,1,107,10,1,-9900,99,-9900,99,-9900,99,3,61,3,61,4.4,5,-3.9,5,53,54,1017,53,3.6,5,100,5,24000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,14:00,67.9,203.3,533,1415,335,10,1,687,16,1,76,10,1,-9900,99,-9900,99,-9900,99,0,61,0,61,3.9,5,-2.8,5,60,54,1017,53,2.6,5,130,5,16000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,15:00,73.5,216.6,402,1415,222,10,1,522,16,1,73,10,1,-9900,99,-9900,99,-9900,99,2,61,2,61,3.9,5,-2.8,5,60,54,1018,53,3.6,5,140,5,16000,5,22000,5,0,5,1,99,1.3,1,0.110,1
1996-01-01,16:00,81.0,228.4,220,1415,79,10,1,169,16,1,52,10,1,-9900,99,-9900,99,-9900,99,4,61,4,61,2.8,5,-1.1,5,75,54,1019,53,2.1,5,140,5,16000,5,22000,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,17:00,87.7,236.6,31,766,5,10,1,1,16,1,5,10,1,-9900,99,-9900,99,-9900,99,9,61,9,61,2.2,5,-1.1,5,78,54,1020,53,1.5,5,110,5,16000,5,2134,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,6,61,6,61,2.2,5,-1.1,5,78,54,1020,53,1.5,5,50,5,16000,5,3962,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,61,10,61,1.7,5,-1.1,5,81,54,1021,53,1.5,5,80,5,12800,5,2286,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,61,10,61,2.2,5,-1.7,5,74,54,1021,53,1.5,5,110,5,12800,5,2134,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,61,10,61,2.2,5,-1.1,5,78,54,1021,53,2.1,5,60,5,12800,5,2134,5,0,5,1,99,1.4,1,0.110,1
1996-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,61,10,61,2.2,5,-1.1,5,78,54,1021,53,1.5,5,70,5,12800,5,2134,5,0,5,1,99,1.5,1,0.110,1
1996-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,2.0,51,-1.1,51,79,54,1022,53,1.6,51,70,51,-9900,99,2248,51,-9900,99,-9900,99,1.5,1,0.110,1
1996-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,1.9,51,-1.0,51,80,54,1022,53,1.8,51,70,51,-9900,99,2363,51,-9900,99,-9900,99,1.5,1,0.110,1
1996-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,1.8,51,-0.8,51,82,54,1022,53,1.9,51,60,51,-9900,99,2477,51,-9900,99,-9900,99,1.5,1,0.110,1
