YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1995-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,3.0,51,1.3,51,89,54,1017,55,3.0,51,70,51,-9900,99,1070,51,-9900,99,-9900,99,1.4,1,0.089,1
1995-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,3.3,51,1.7,51,89,54,1016,55,3.4,51,80,51,-9900,99,869,51,-9900,99,-9900,99,1.5,1,0.089,1
1995-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,3.5,51,2.1,51,91,54,1016,55,3.7,51,80,51,-9900,99,667,51,-9900,99,-9900,99,1.5,1,0.089,1
1995-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,3.8,51,2.5,51,91,54,1015,55,4.0,51,80,51,-9900,99,465,51,-9900,99,-9900,99,1.5,1,0.089,1
1995-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,51,10,51,4.1,51,2.9,51,92,54,1014,55,4.3,51,80,51,-9900,99,263,51,-9900,99,-9900,99,1.5,1,0.089,1
1995-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,4.4,5,3.3,5,93,54,1013,55,4.6,5,80,5,1600,5,61,5,0,5,1,99,1.6,1,0.089,1
1995-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,10,5,10,0,4.4,5,3.3,5,93,54,1014,55,2.6,5,40,5,1600,5,61,5,1,5,1,99,1.6,1,0.089,1
1995-01-01,8:00,87.1,124.1,48,955,5,10,1,0,16,1,5,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,5.6,5,2.2,5,79,54,1015,55,3.1,5,10,5,2400,5,213,5,2,5,1,99,1.6,1,0.039,1
1995-01-01,9:00,80.0,133.0,246,1415,46,10,1,0,16,1,46,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,5.6,5,4.4,5,92,54,1016,55,2.1,5,360,5,2400,5,518,5,2,5,1,99,1.6,1,0.039,1
1995-01-01,10:00,72.6,145.0,423,1415,87,10,1,0,16,1,87,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,6.7,5,6.1,5,96,54,1017,55,2.6,5,320,5,9600,5,518,5,0,5,1,99,1.5,1,0.039,1
1995-01-01,11:00,67.3,158.6,546,1415,146,10,1,0,16,1,146,10,1,-9900,99,-9900,99,-9900,99,10,5,10,0,6.7,5,5.0,5,89,54,1017,55,5.2,5,260,5,11200,5,3962,5,0,5,1,99,1.5,1,0.039,1
1995-01-01,12:00,64.6,173.4,608,1415,178,10,1,136,16,1,120,10,1,-9900,99,-9900,99,-9900,99,7,5,7,0,7.8,5,5.6,5,86,54,1017,55,8.2,5,260,5,24000,5,3962,5,0,5,1,99,1.5,1,0.039,1
1995-01-01,13:00,64.8,188.6,604,1415,380,10,1,647,16,1,104,10,1,-9900,99,-9900,99,-9900,99,3,5,3,0,8.3,5,5.6,5,83,54,1017,55,7.2,5,260,5,24000,5,22000,5,0,5,1,99,1.5,1,0.039,1
