YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1992-01-01,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-5.6,5,-8.3,5,79,54,1012,55,1.5,5,350,5,24000,5,22000,5,0,1,6,99,1.0,1,0.253,1
1992-01-01,2:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-5.6,5,-7.8,5,83,54,1011,55,1.5,5,340,5,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.253,1
1992-01-01,3:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-6.1,5,-8.3,5,83,54,1011,55,1.5,5,360,5,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.253,1
1992-01-01,4:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-7.8,5,-9.4,5,87,54,1010,55,2.1,5,330,5,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.253,1
1992-01-01,5:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-7.8,5,-9.4,5,87,54,1010,55,0.0,5,0,54,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.253,1
1992-01-01,6:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-8.3,5,-10.6,5,82,54,1010,55,0.0,5,0,54,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.253,1
1992-01-01,7:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-7.8,5,-10.6,5,78,54,1009,55,2.1,5,310,5,24000,5,22000,5,0,1,6,99,1.0,1,0.253,1
1992-01-01,8:00,87.0,124.0,52,979,12,10,1,5,16,1,12,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-7.8,5,-8.9,5,91,54,1009,55,0.0,5,0,54,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.289,1
1992-01-01,9:00,79.7,133.1,253,1415,96,10,1,162,16,1,67,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-2.2,5,-7.2,5,65,54,1008,55,2.1,5,320,5,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.289,1
1992-01-01,10:00,72.3,145.0,431,1415,213,10,1,349,16,1,107,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,0.6,5,-7.2,5,52,54,1008,55,2.1,5,310,5,24000,5,22000,5,0,1,99,99,1.0,1,0.289,1
1992-01-01,11:00,66.9,158.6,554,1415,312,10,1,455,16,1,134,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,3.3,5,-8.9,5,37,54,1008,55,3.1,5,310,5,24000,5,22000,5,-9900,99,-9900,99,1.0,1,0.289,1
1992-01-01,12:00,64.2,173.4,616,1415,364,10,1,500,16,1,147,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,5.6,5,-10.6,5,27,54,1007,55,2.1,5,340,5,24000,5,22000,5,-9900,99,-9900,99,1.1,1,0.289,1
1992-01-01,13:00,64.4,188.7,612,1415,360,10,1,496,16,1,146,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,7.8,5,-14.4,5,17,54,1007,55,1.5,5,280,5,24000,5,22000,5,0,1,6,99,1.1,1,0.289,1
1992-01-01,14:00,67.5,203.4,541,1415,300,10,1,444,16,1,131,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,7.2,5,-7.8,5,31,54,1006,55,2.1,5,170,5,24000,5,22000,5,-9900,99,-9900,99,1.1,1,0.289,1
1992-01-01,15:00,73.2,216.7,409,1415,197,10,1,328,16,1,102,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,7.2,5,-8.9,5,28,54,1006,55,2.6,5,170,5,24000,5,22000,5,-9900,99,-9900,99,1.1,1,0.289,1
1992-01-01,16:00,80.8,228.5,226,1415,81,10,1,130,16,1,61,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,5.6,5,-10.0,5,29,54,1005,55,2.6,5,220,5,24000,5,22000,5,0,1,99,99,1.1,1,0.289,1
1992-01-01,17:00,87.6,236.7,33,790,7,10,1,2,16,1,7,10,1,-9900,99,-9900,99,-9900,99,0,5,0,0,2.2,5,-9.4,5,38,54,1005,55,1.0,5,130,5,24000,5,22000,5,-9900,99,-9900,99,1.1,1,0.289,1
1992-01-01,18:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,2,5,0,0,1.1,5,-7.8,5,48,54,1004,55,1.5,5,260,5,24000,5,22000,5,-9900,99,-9900,99,1.2,1,0.289,1
1992-01-01,19:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,1,5,0,0,-0.6,5,-6.7,5,60,54,1004,55,1.5,5,80,5,24000,5,22000,5,0,1,6,99,1.2,1,0.289,1
1992-01-01,20:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-2.8,5,-6.1,5,76,54,1003,55,1.0,5,100,5,24000,5,22000,5,-9900,99,-9900,99,1.2,1,0.289,1
1992-01-01,21:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-7.8,5,68,54,1003,55,0.0,5,0,54,24000,5,22000,5,-9900,99,-9900,99,1.2,1,0.289,1
1992-01-01,22:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.3,5,-7.2,5,72,54,1002,55,0.0,5,0,54,24000,5,22000,5,0,1,99,99,1.2,1,0.289,1
1992-01-01,23:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-3.9,5,-6.7,5,79,54,1002,55,2.1,5,320,5,16000,5,22000,5,-9900,99,-9900,99,1.2,1,0.289,1
1992-01-01,24:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,0,5,0,0,-4.4,5,-6.7,5,82,54,1001,55,0.0,5,0,54,16000,5,22000,5,-9900,99,-9900,99,1.3,1,0.289,1
1992-01-02,1:00,99.0,-99.0,0,0,0,0,1,0,0,1,0,0,1,-9900,99,-9900,99,-9900,99,7,5,6,0,-3.3,5,-5.6,5,82,54,1001,55,0.0,5,0,54,16000,5,853,5,0,1,6,99,1.3,1,0.289,1
