YYYY-MM-DD,HH:MM (LST),Zenith (deg),Azimuth (deg),ETR (Wh/m^2),ETRN (Wh/m^2),Glo Mod (Wh/m^2),Glo Mod Unc (%),Glo Mod Source,Dir Mod (Wh/m^2),Dir Mod Unc (%),Dir Mod Source,Dif Mod (Wh/m^2),Dif Mod Unc (%),Dif Mod Source,Meas Glo (Wh/m^2),Meas Glo Flg,Meas Dir (Wh/m^2),Meas Dir Flg,Meas Dif (Wh/m^2),Meas Dif Flg,TotCC (10ths),TotCC Flg,OpqCC (10ths),OpqCC Flg,Dry Bulb (C),Dry Bulb Flg,Dew Pnt (C),Dew Pnt Flg,Rel Hum (%),Rel Hum Flg,Baro Press (mbar),Baro Press Flg,Wind Speed (m/s),Wind Speed Flg,Wind Dir (deg),Wind Dir Flg,Hor Vis (m),Hor Vis Flg,Ceil Hgt (m),Ceil Hgt Flg,Liq Precip Depth (mm),Liq Precip Depth Flg,Liq Precip Quantity (hours),Liq Precip Quantity Flg,Precip Wat (cm),Precip Wat Flg,AOD (unitless),AOD Flg
1998-01-01,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1,0,56,-7.8,5,-14.4,5,55,54,1025,51,8.2,5,320,5,16000,5,22000,5,0,5,1,99,0.7,1,0.088,1
1998-01-01,2:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1,0,56,-8.3,5,-15.0,5,55,54,1027,1,6.2,5,310,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,3:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1,0,56,-8.3,5,-15.0,5,55,54,1027,1,7.2,5,310,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,4:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,1,0,56,-8.3,5,-15.0,5,55,54,1028,1,9.3,5,320,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,5:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,61,0,61,-8.9,5,-15.0,5,58,54,1029,1,7.7,5,320,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,6:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,0,61,0,61,-8.9,5,-15.0,5,58,54,1030,1,7.2,5,310,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,7:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,3,61,3,61,-8.9,5,-15.0,5,58,54,1030,51,5.2,5,300,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,8:00,87.2,123.7,44,908,13,9,2,160,21,2,5,9,2,-9900,99,-9900,99,-9900,99,3,61,3,61,-8.9,5,-15.0,5,58,54,1031,1,4.6,5,300,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,9:00,80.1,132.4,243,1415,144,9,2,507,21,2,56,9,2,-9900,99,-9900,99,-9900,99,3,61,3,61,-8.3,5,-15.6,5,52,54,1032,1,5.2,5,270,5,16000,5,7620,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,10:00,72.6,144.3,423,1415,287,9,2,707,21,2,75,9,2,-9900,99,-9900,99,-9900,99,3,61,3,61,-7.2,5,-15.6,5,47,54,1033,1,6.7,5,280,5,16000,5,7620,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,11:00,67.1,157.8,550,1415,381,9,2,760,21,2,85,9,2,-9900,99,-9900,99,-9900,99,3,61,3,61,-6.1,5,-15.0,5,45,54,1032,1,4.1,5,290,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,12:00,64.2,172.6,616,1415,418,9,2,736,21,2,97,9,2,-9900,99,-9900,99,-9900,99,4,61,4,61,-4.4,5,-14.4,5,41,54,1031,1,6.2,5,280,5,16000,5,7620,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,13:00,64.3,187.9,615,1415,421,9,2,750,21,2,95,9,2,-9900,99,-9900,99,-9900,99,5,51,5,51,-3.3,5,-13.3,5,42,54,1030,51,6.2,5,250,5,16000,5,7620,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,14:00,67.2,202.6,548,1415,356,9,2,675,21,2,94,9,2,-9900,99,-9900,99,-9900,99,5,1,5,56,-2.8,5,-12.8,5,42,54,1030,1,5.2,5,240,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,15:00,72.8,216.1,419,1415,246,9,2,549,21,2,83,9,2,-9900,99,-9900,99,-9900,99,4,61,4,61,-2.2,5,-12.8,5,40,54,1029,1,6.7,5,250,5,16000,5,22000,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,16:00,80.3,227.9,238,1415,134,9,2,381,21,2,70,9,2,-9900,99,-9900,99,-9900,99,10,61,10,61,-1.7,5,-12.2,5,40,54,1028,1,4.6,5,240,5,16000,5,3048,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,17:00,87.3,236.4,41,861,3,9,2,0,21,2,3,9,2,-9900,99,-9900,99,-9900,99,8,61,8,61,-1.7,5,-12.8,5,38,54,1027,1,7.2,5,230,5,16000,5,3048,5,0,5,1,99,0.8,1,0.088,1
1998-01-01,18:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,9,61,9,61,-1.7,5,-12.8,5,38,54,1027,1,8.2,5,230,5,16000,5,3353,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,19:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,8,51,8,51,-1.7,5,-11.7,5,42,54,1026,51,9.3,5,220,5,16000,5,2896,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,20:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,61,7,61,-1.7,5,-11.7,5,42,54,1025,1,8.8,5,230,5,16000,5,4267,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,21:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,7,61,6,61,-1.7,5,-11.1,5,44,54,1025,1,7.2,5,220,5,16000,5,3658,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,22:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,5,61,4,61,-1.1,5,-10.6,5,44,54,1024,1,8.2,5,220,5,16000,5,22000,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,23:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,2,61,1,61,-1.1,5,-9.4,5,49,54,1022,1,7.7,5,210,5,16000,5,7620,5,0,5,1,99,0.9,1,0.088,1
1998-01-01,24:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,4,61,2,61,-1.1,5,-8.3,5,54,54,1022,1,5.7,5,230,5,16000,5,7620,5,0,5,1,99,0.9,1,0.088,1
1998-01-02,1:00,99.0,-99.0,0,0,0,0,2,0,0,2,0,0,2,-9900,99,-9900,99,-9900,99,4,51,2,51,0.0,5,-7.8,5,52,54,1022,51,6.7,5,240,5,16000,5,7620,5,0,5,1,99,0.9,1,0.088,1
