,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-09 00:00:00,23.98,0.43,18.94,0.59,partly-cloudy-night,299.73,0.005,0.0006,0.01,snow,1034.23,Partly Cloudy,31.58,0,10,320,13.41,8.58
2018-12-09 01:00:00,23.19,0.59,18.73,0.6,partly-cloudy-night,299.04,,0.0,0.0,,1033.63,Partly Cloudy,31.01,0,10,330,13.13,8.74
2018-12-09 02:00:00,22.53,0.63,18.83,0.62,partly-cloudy-night,298.49,,0.0,0.0,,1033.92,Mostly Cloudy,30.28,0,10,337,12.42,8.36
2018-12-09 03:00:00,22.09,0.67,19.05,0.64,partly-cloudy-night,298.02,,0.0,0.0,,1033.88,Mostly Cloudy,29.59,0,10,348,11.31,7.73
2018-12-09 04:00:00,22.38,0.75,19.23,0.65,partly-cloudy-night,297.72,,0.0,0.0,,1033.75,Mostly Cloudy,29.35,0,10,355,9.65,6.9
2018-12-09 05:00:00,22.86,0.84,19.31,0.66,partly-cloudy-night,297.68,,0.0,0.0,,1033.25,Mostly Cloudy,29.33,0,10,0,8.07,6.24
2018-12-09 06:00:00,23.69,0.94,19.33,0.65,cloudy,297.83,0.009,0.001,0.01,snow,1032.69,Overcast,29.57,0,10,4,6.51,5.59
2018-12-09 07:00:00,24.68,1.0,19.47,0.64,cloudy,298.03,,0.0,0.0,,1032.15,Overcast,29.99,0,10,15,5.43,5.04
2018-12-09 08:00:00,26.31,1.0,19.78,0.63,cloudy,298.41,0.016,0.0019,0.01,snow,1031.78,Overcast,30.83,0,10,32,4.74,4.38
2018-12-09 09:00:00,28.43,0.98,20.13,0.61,cloudy,298.85,0.0,0.0002,0.01,snow,1031.64,Overcast,32.04,0,10,47,4.34,3.73
2018-12-09 10:00:00,30.41,0.97,20.45,0.59,cloudy,299.6,,0.0,0.0,,1031.43,Overcast,33.07,1,10,89,4.89,3.09
2018-12-09 11:00:00,31.31,0.96,20.69,0.57,cloudy,300.44,0.0,0.0002,0.02,snow,1030.7,Overcast,34.21,1,10,96,5.21,3.4
2018-12-09 12:00:00,32.73,0.97,21.26,0.56,cloudy,301.49,0.0,0.0002,0.02,snow,1029.76,Overcast,35.45,1,10,133,5.95,3.39
2018-12-09 13:00:00,33.96,0.99,21.83,0.55,cloudy,302.71,,0.0002,0.03,rain,1028.76,Overcast,36.24,1,10,165,6.44,3.12
2018-12-09 14:00:00,36.58,0.99,22.41,0.56,cloudy,304.08,,0.0,0.0,,1027.72,Overcast,36.58,1,10,161,6.4,0.93
2018-12-09 15:00:00,36.4,0.99,22.97,0.58,cloudy,305.65,,0.0,0.0,,1026.59,Overcast,36.4,0,10,307,6.08,2.99
2018-12-09 16:00:00,33.25,0.99,23.34,0.6,cloudy,307.14,,0.0,0.0,,1025.69,Overcast,35.95,0,10,290,5.73,3.44
2018-12-09 17:00:00,35.08,0.99,23.48,0.62,cloudy,308.52,,0.0,0.0,,1025.16,Overcast,35.08,0,10,306,5.39,2.47
2018-12-09 18:00:00,30.6,1.0,23.38,0.64,cloudy,309.84,,0.0,0.0,,1024.81,Overcast,34.24,0,10,346,5.48,4.06
2018-12-09 19:00:00,29.49,1.0,23.2,0.65,cloudy,311.3,,0.0,0.0,,1024.26,Overcast,33.57,0,10,333,5.81,4.39
2018-12-09 20:00:00,28.58,1.0,22.94,0.65,cloudy,313.0,,0.0,0.0,,1023.3,Overcast,33.26,0,10,333,6.49,4.97
2018-12-09 21:00:00,27.51,1.0,22.61,0.65,cloudy,314.88,,0.0,0.0,,1022.14,Overcast,33.09,0,10,351,7.4,6.04
2018-12-09 22:00:00,26.85,1.0,22.11,0.64,cloudy,316.55,,0.0,0.0,,1021.2,Overcast,32.9,0,10,345,8.26,6.62
2018-12-09 23:00:00,26.71,1.0,21.35,0.62,cloudy,317.76,,0.0,0.0,,1020.63,Overcast,33.0,0,10,340,9.01,6.99
