,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipAccumulation,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-09 00:00:00,21.02,0.54,20.14,0.67,partly-cloudy-night,301.95,0.005,0.0006,0.01,snow,1033.91,Partly Cloudy,29.7,0,10,308,14.21,9.75
2018-12-09 01:00:00,20.1,0.49,20.12,0.69,partly-cloudy-night,300.85,,0.0,0.0,,1033.29,Partly Cloudy,28.89,0,10,315,13.46,9.59
2018-12-09 02:00:00,19.46,0.59,20.29,0.72,partly-cloudy-night,299.72,,0.0,0.0,,1033.64,Partly Cloudy,28.01,0,10,321,12.28,8.83
2018-12-09 03:00:00,19.38,0.59,20.45,0.75,partly-cloudy-night,298.65,,0.0,0.0,,1033.72,Partly Cloudy,27.39,0,10,329,10.77,7.77
2018-12-09 04:00:00,19.78,0.66,20.46,0.76,partly-cloudy-night,297.99,,0.0,0.0,,1033.66,Mostly Cloudy,27.14,0,10,335,9.06,6.81
2018-12-09 05:00:00,20.41,0.69,20.31,0.75,partly-cloudy-night,297.88,,0.0,0.0,,1033.17,Mostly Cloudy,27.19,0,10,343,7.54,6.11
2018-12-09 06:00:00,21.65,0.83,20.12,0.73,partly-cloudy-night,298.27,0.01,0.001,0.01,snow,1032.59,Mostly Cloudy,27.75,0,10,356,6.5,5.46
2018-12-09 07:00:00,23.7,0.89,20.09,0.7,partly-cloudy-night,298.65,,0.0,0.0,,1032.04,Mostly Cloudy,28.78,0,10,6,4.76,4.6
2018-12-09 08:00:00,25.48,0.9,19.91,0.66,partly-cloudy-day,299.14,0.017,0.0019,0.01,snow,1031.7,Mostly Cloudy,30.03,0,10,30,4.54,4.29
2018-12-09 09:00:00,28.22,0.91,19.72,0.61,partly-cloudy-day,299.75,0.0,0.0002,0.01,snow,1031.53,Mostly Cloudy,31.78,1,10,52,4.29,3.65
2018-12-09 10:00:00,30.36,0.93,19.73,0.57,partly-cloudy-day,300.51,,0.0,0.0,,1031.3,Mostly Cloudy,33.31,1,10,83,4.38,3.34
2018-12-09 11:00:00,31.55,0.92,19.92,0.54,partly-cloudy-day,301.25,0.0,0.0002,0.02,snow,1030.52,Mostly Cloudy,34.75,1,10,112,5.05,3.72
2018-12-09 12:00:00,32.84,0.96,20.52,0.53,cloudy,302.2,0.0,0.0002,0.02,snow,1029.56,Overcast,35.95,1,10,149,5.63,3.8
2018-12-09 13:00:00,33.76,0.98,21.25,0.53,cloudy,303.24,,0.0002,0.03,rain,1028.59,Overcast,36.81,1,10,173,6.2,3.87
2018-12-09 14:00:00,34.25,0.99,22.22,0.55,cloudy,304.59,,0.0,0.0,,1027.57,Overcast,37.08,1,10,179,6.76,3.7
2018-12-09 15:00:00,33.97,0.99,23.35,0.58,cloudy,306.04,,0.0,0.0,,1026.5,Overcast,36.78,0,10,251,7.3,3.65
2018-12-09 16:00:00,32.95,0.98,24.23,0.62,cloudy,307.54,,0.0,0.0,,1025.6,Overcast,36.01,0,10,254,7.48,3.77
2018-12-09 17:00:00,31.72,0.99,24.75,0.66,cloudy,308.82,,0.0,0.0,,1025.1,Overcast,34.95,0,10,233,6.91,3.78
2018-12-09 18:00:00,30.47,0.99,25.07,0.7,cloudy,310.09,,0.0,0.0,,1024.73,Overcast,33.84,0,10,324,5.98,3.76
2018-12-09 19:00:00,28.9,1.0,25.31,0.73,cloudy,311.36,,0.0,0.0,,1024.22,Overcast,32.91,0,10,297,5.52,4.22
2018-12-09 20:00:00,28.73,1.0,25.49,0.76,cloudy,312.85,,0.0,0.0,,1023.2,Overcast,32.24,0,10,296,5.99,3.67
2018-12-09 21:00:00,26.13,1.0,25.59,0.77,cloudy,314.43,,0.0,0.0,,1022.01,Overcast,31.88,0,10,352,6.91,5.95
2018-12-09 22:00:00,25.29,1.0,25.34,0.77,cloudy,315.89,,0.0,0.0,,1021.0,Overcast,31.65,0,10,329,7.72,6.7
2018-12-09 23:00:00,25.13,1.0,24.4,0.74,cloudy,317.0,,0.0,0.0,,1020.41,Overcast,31.68,0,10,326,8.15,6.97
