,apparentTemperature,cloudCover,dewPoint,humidity,icon,ozone,precipIntensity,precipProbability,precipType,pressure,summary,temperature,uvIndex,visibility,windBearing,windGust,windSpeed
2018-12-11 00:00:00,27.59,0.58,28.78,0.73,partly-cloudy-night,328.24,0.0018,0.01,rain,1020.93,Partly Cloudy,36.48,0,10,39,14.23,14.23
2018-12-11 01:00:00,27.7,0.57,28.45,0.73,partly-cloudy-night,329.23,0.0019,0.01,rain,1020.95,Partly Cloudy,36.26,0,10,42,13.12,13.12
2018-12-11 02:00:00,27.89,0.49,28.44,0.73,partly-cloudy-night,330.23,0.0005,0.01,rain,1021.05,Partly Cloudy,36.23,0,10,45,12.56,12.55
2018-12-11 03:00:00,28.24,0.46,28.66,0.74,partly-cloudy-night,331.26,0.0,0.0,,1021.15,Partly Cloudy,36.29,0,10,46,11.85,11.85
2018-12-11 04:00:00,28.56,0.47,28.77,0.74,partly-cloudy-night,332.43,0.0015,0.01,rain,1021.05,Partly Cloudy,36.4,0,10,46,11.42,11.41
2018-12-11 05:00:00,28.89,0.69,29.38,0.75,partly-cloudy-night,333.75,0.0,0.0,,1021.23,Mostly Cloudy,36.46,0,10,46,10.84,10.83
2018-12-11 06:00:00,29.42,0.72,29.43,0.75,partly-cloudy-night,335.19,0.0,0.0,,1021.34,Mostly Cloudy,36.75,0,10,47,10.43,10.42
2018-12-11 07:00:00,29.93,0.73,29.47,0.74,partly-cloudy-night,336.71,0.0,0.0,,1021.4,Mostly Cloudy,37.03,0,10,51,10.06,10.05
2018-12-11 08:00:00,30.52,0.72,29.57,0.73,partly-cloudy-day,338.42,0.0,0.0,,1021.44,Mostly Cloudy,37.34,0,10,57,9.65,9.64
2018-12-11 09:00:00,31.07,0.69,29.64,0.73,partly-cloudy-day,340.3,0.0,0.0,,1021.42,Mostly Cloudy,37.65,1,10,65,9.28,9.28
2018-12-11 10:00:00,31.59,0.68,29.73,0.72,partly-cloudy-day,341.72,0.0,0.0,,1021.17,Mostly Cloudy,37.92,1,10,73,8.9,8.9
2018-12-11 11:00:00,32.08,0.68,29.78,0.72,partly-cloudy-day,342.57,0.0,0.0,,1020.51,Mostly Cloudy,38.14,1,10,80,8.46,8.46
2018-12-11 12:00:00,32.61,0.7,29.86,0.71,partly-cloudy-day,342.97,0.0,0.0,,1019.6,Mostly Cloudy,38.36,1,10,87,7.98,7.97
2018-12-11 13:00:00,33.08,0.72,29.99,0.71,partly-cloudy-day,342.46,0.0,0.0,,1018.78,Mostly Cloudy,38.53,1,10,90,7.51,7.5
2018-12-11 14:00:00,33.59,0.73,30.24,0.71,partly-cloudy-day,340.23,0.0,0.0,,1018.07,Mostly Cloudy,38.74,1,10,92,7.05,7.05
2018-12-11 15:00:00,34.15,0.75,30.54,0.71,partly-cloudy-day,337.19,0.0,0.0,,1017.44,Mostly Cloudy,38.98,0,10,91,6.61,6.61
2018-12-11 16:00:00,34.6,0.75,30.95,0.72,partly-cloudy-day,335.4,0.0,0.0,,1016.9,Mostly Cloudy,39.2,0,10,86,6.32,6.32
2018-12-11 17:00:00,34.7,0.76,31.4,0.73,partly-cloudy-night,336.08,0.0,0.0,,1016.51,Mostly Cloudy,39.24,0,10,72,6.24,6.23
2018-12-11 18:00:00,34.59,0.75,31.9,0.75,partly-cloudy-night,338.0,0.0,0.0,,1016.26,Mostly Cloudy,39.17,0,10,53,6.31,6.28
2018-12-11 19:00:00,34.24,0.75,32.3,0.77,partly-cloudy-night,339.65,0.0003,0.02,rain,1015.95,Mostly Cloudy,39.0,0,10,29,6.53,6.5
2018-12-11 20:00:00,33.99,0.72,32.49,0.77,partly-cloudy-night,340.3,0.0003,0.02,rain,1015.58,Mostly Cloudy,39.0,0,10,356,6.94,6.9
2018-12-11 21:00:00,33.68,0.69,32.58,0.78,partly-cloudy-night,340.63,0.0003,0.01,rain,1015.18,Mostly Cloudy,39.0,0,10,335,7.6,7.44
2018-12-11 22:00:00,33.41,0.69,32.67,0.77,partly-cloudy-night,341.13,0.0003,0.01,rain,1014.79,Mostly Cloudy,39.15,0,10,325,8.55,8.26
2018-12-11 23:00:00,33.12,0.71,32.76,0.77,partly-cloudy-night,341.57,0.0005,0.02,rain,1014.36,Mostly Cloudy,39.38,0,10,357,9.65,9.45
